playerid,display_name,common_name,source
# Verified against save file's editedplayernames table (nQVU),,,
# Entries here supplement players whose names aren't stored in the save.,,,
# To add more: look up player ID on sofifa.com, verify name, append below.,
20801,Cristiano Ronaldo,Cristiano Ronaldo,sofifa
158023,Lionel Messi,Lionel Messi,sofifa
190871,Neymar Jr,Neymar Jr,sofifa
172879,Gianluigi Buffon,Buffon,sofifa
192387,Jan Oblak,Oblak,sofifa
193080,De Bruyne,De Bruyne,sofifa
226328,Megan Rapinoe,Megan Rapinoe,user
227125,Samantha Kerr,Samantha Kerr,user
200389,Oblak,Oblak,user
188545,Robert Lewandowski,Robert Lewandowski,user
16,Luis GarcÃ­a,Luis GarcÃ­a,dataset
80,E. BelÃ¶zoÄlu,E. BelÃ¶zoÄlu,dataset
657,D. Vaughan,D. Vaughan,dataset
768,Felipe,Felipe,dataset
2147,M. Stekelenburg,M. Stekelenburg,dataset
2335,A. Wilbraham,A. Wilbraham,dataset
2702,K. Ellison,K. Ellison,dataset
3281,Tarantini,Tarantini,dataset
3484,J. O'Shea,J. O'Shea,dataset
3665,B. Nivet,B. Nivet,dataset
6826,G. Barry,G. Barry,dataset
7647,D. Dainelli,D. Dainelli,dataset
8205,Braga,Braga,dataset
9833,D. Boer,D. Boer,dataset
10466,S. Ishizaki,S. Ishizaki,dataset
10884,M. Flynn,M. Flynn,dataset
10899,C. Porter,C. Porter,dataset
11381,M. Gilks,M. Gilks,dataset
11430,J. McCombe,J. McCombe,dataset
11811,P. Green,P. Green,dataset
12940,E. Pogatetz,E. Pogatetz,dataset
13883,D. Whitaker,D. Whitaker,dataset
14907,A. Bizzarri,A. Bizzarri,dataset
16097,N. Rimando,N. Rimando,dataset
16254,T. Howard,T. Howard,dataset
17725,A. Hughes,A. Hughes,dataset
18115,RÃºben Fernandes,RÃºben Fernandes,dataset
18122,N. Penneteau,N. Penneteau,dataset
18745,M. Tyler,M. Tyler,dataset
18771,L. Steele,L. Steele,dataset
19410,A. Revell,A. Revell,dataset
19521,J. Ibehre,J. Ibehre,dataset
19541,G. Morris,G. Morris,dataset
19975,R. Nuzzolo,R. Nuzzolo,dataset
20209,Ricardo Costa,Ricardo Costa,dataset
23466,R. Taylor,R. Taylor,dataset
24630,Pepe Reina,Pepe Reina,dataset
25420,C. Pizarro,C. Pizarro,dataset
28157,P. van der Vlag,P. van der Vlag,dataset
29118,S. Ono,S. Ono,dataset
29552,S. Nakamura,S. Nakamura,dataset
32740,J. Wiland,J. Wiland,dataset
34079,A. Cole,A. Cole,dataset
36111,K. Beckerman,K. Beckerman,dataset
39386,D. Beasley,D. Beasley,dataset
45083,S. von Bergen,S. von Bergen,dataset
45473,C. Tiffert,C. Tiffert,dataset
45595,D. Bonera,D. Bonera,dataset
45605,M. Brighi,M. Brighi,dataset
45842,J. Olsson,J. Olsson,dataset
46175,M. Rosenberg,M. Rosenberg,dataset
46736,E. Moretti,E. Moretti,dataset
46857,M. Pedersen,M. Pedersen,dataset
47020,K. Begois,K. Begois,dataset
47201,S. Proto,S. Proto,dataset
48745,F. Coloccini,F. Coloccini,dataset
48940,P. Äech,P. Äech,dataset
49000,A. McGregor,A. McGregor,dataset
49031,S. Sorrentino,S. Sorrentino,dataset
49045,K. Boyd,K. Boyd,dataset
